│ Row │ Prob            │ Flag │ LDE        │ Time        │ Bytes     │ GCtime     │
├─────┼─────────────────┼──────┼────────────┼─────────────┼───────────┼────────────┤
│ 1   │ "inst_10.mat"   │ 0    │ 8.75507e-5 │ 2.3972e-5   │ 32432.0   │ 0.0        │
│ 2   │ "inst_15.mat"   │ 0    │ 7.41358e-6 │ 0.000116022 │ 68624.0   │ 0.0        │
│ 3   │ "inst_20.mat"   │ 0    │ 1.68997e-6 │ 7.9232e-5   │ 111248.0  │ 0.0        │
│ 4   │ "inst_25.mat"   │ 0    │ 8.31309e-6 │ 0.000146765 │ 191504.0  │ 0.0        │
│ 5   │ "inst_30.mat"   │ 0    │ 6.57861e-6 │ 0.000101415 │ 185360.0  │ 0.0        │
│ 6   │ "inst_40.mat"   │ 0    │ 9.48821e-6 │ 0.000175448 │ 321040.0  │ 0.0        │
│ 7   │ "inst_50.mat"   │ 0    │ 1.59936e-5 │ 0.00019619  │ 372512.0  │ 0.0        │
│ 8   │ "inst_60.mat"   │ 0    │ 1.28402e-5 │ 0.000302618 │ 590272.0  │ 0.0        │
│ 9   │ "inst_70.mat"   │ 0    │ 5.30469e-6 │ 0.00052489  │ 829552.0  │ 0.0        │
│ 10  │ "inst_80.mat"   │ 0    │ 5.02969e-6 │ 0.000539139 │ 753600.0  │ 0.0        │
│ 11  │ "inst_90.mat"   │ 0    │ 1.19844e-6 │ 0.000332549 │ 678784.0  │ 0.0        │
│ 12  │ "inst_100.mat"  │ 0    │ 8.33698e-6 │ 0.000558554 │ 1.14902e6 │ 0.0        │
│ 13  │ "inst_300.mat"  │ 0    │ 4.14764e-6 │ 0.00231042  │ 4.7575e6  │ 0.0        │
│ 14  │ "inst_400.mat"  │ 0    │ 1.77113e-5 │ 0.00301062  │ 6.20499e6 │ 0.0        │
│ 15  │ "inst_500.mat"  │ 0    │ 4.27805e-6 │ 0.00417629  │ 8.68578e6 │ 0.0        │
│ 16  │ "inst_600.mat"  │ 0    │ 8.73114e-6 │ 0.0100403   │ 1.14461e7 │ 0.00442787 │
│ 17  │ "inst_700.mat"  │ 0    │ 8.27363e-6 │ 0.0119283   │ 1.63425e7 │ 0.00419959 │
│ 18  │ "inst_800.mat"  │ 0    │ 2.88131e-6 │ 0.0115321   │ 1.55752e7 │ 0.00391673 │
│ 19  │ "inst_900.mat"  │ 0    │ 1.71479e-5 │ 0.0158117   │ 2.19813e7 │ 0.0038882  │
│ 20  │ "inst_1000.mat" │ 0    │ 8.71195e-6 │ 0.0156635   │ 2.53626e7 │ 0.00340829 │
│ 21  │ "inst_2000.mat" │ 0    │ 1.78632e-5 │ 0.0453229   │ 7.23406e7 │ 0.00750027 │
