
│ Row │ Prob            │ Flag │ LDE        │ Time        │ Bytes     │ GCtime     │
├─────┼─────────────────┼──────┼────────────┼─────────────┼───────────┼────────────┤
│ 1   │ "inst_10.mat"   │ 0    │ 8.84133e-5 │ 0.00040856  │ 96848.0   │ 0.0        │
│ 2   │ "inst_15.mat"   │ 0    │ 7.41592e-6 │ 0.000531582 │ 190736.0  │ 0.0        │
│ 3   │ "inst_20.mat"   │ 0    │ 1.69508e-6 │ 0.000606903 │ 232784.0  │ 0.0        │
│ 4   │ "inst_25.mat"   │ 0    │ 8.31331e-6 │ 0.00075056  │ 347168.0  │ 0.0        │
│ 5   │ "inst_30.mat"   │ 0    │ 6.58036e-6 │ 0.00104474  │ 434768.0  │ 0.0        │
│ 6   │ "inst_40.mat"   │ 0    │ 1.05588e-5 │ 0.00135337  │ 623232.0  │ 0.0        │
│ 7   │ "inst_50.mat"   │ 0    │ 2.01008e-5 │ 0.00214586  │ 778880.0  │ 0.0        │
│ 8   │ "inst_60.mat"   │ 0    │ 2.62366e-5 │ 0.00238503  │ 1.15203e6 │ 0.0        │
│ 9   │ "inst_70.mat"   │ 0    │ 5.32649e-6 │ 0.0036179   │ 1.36763e6 │ 0.0        │
│ 10  │ "inst_80.mat"   │ 0    │ 8.44218e-6 │ 0.00288691  │ 1.48651e6 │ 0.0        │
│ 11  │ "inst_90.mat"   │ 0    │ 1.299e-6   │ 0.00292567  │ 1.32027e6 │ 0.0        │
│ 12  │ "inst_100.mat"  │ 0    │ 8.80202e-6 │ 0.0109471   │ 1.86093e6 │ 0.00676728 │
│ 13  │ "inst_300.mat"  │ 0    │ 8.31623e-6 │ 0.0205621   │ 7.33382e6 │ 0.00519545 │
│ 14  │ "inst_400.mat"  │ 0    │ 3.85228e-5 │ 0.0168446   │ 9.54451e6 │ 0.0        │
│ 15  │ "inst_500.mat"  │ 0    │ 9.29183e-6 │ 0.0235222   │ 1.28299e7 │ 0.00334894 │
│ 16  │ "inst_600.mat"  │ 0    │ 1.91396e-5 │ 0.0274973   │ 1.67688e7 │ 0.00393778 │
│ 17  │ "inst_700.mat"  │ 0    │ 1.81731e-5 │ 0.108504    │ 1.97448e7 │ 0.0782259  │
│ 18  │ "inst_800.mat"  │ 0    │ 6.11179e-6 │ 0.0342206   │ 2.19752e7 │ 0.00301919 │
│ 19  │ "inst_900.mat"  │ 0    │ 3.74874e-5 │ 0.0666735   │ 2.98052e7 │ 0.0250289  │
│ 20  │ "inst_1000.mat" │ 0    │ 1.69108e-5 │ 0.100449    │ 6.41776e7 │ 0.00960789 │
│ 21  │ "inst_2000.mat" │ 0    │ 3.32003e-5 │ 0.119335    │ 9.29001e7 │ 0.0103645  │
